  County , ORGANIZATION NAME , Address , City ,State, Zip , DISCIPLINE ,Budget Category,   ANNUAL AUDIENCE SERVED ,Regional Arts Council
 ,ISD 112 Community Education,11 Peavey Rd,Chaska,MN,55318,Arts Multipurpose,Under $25K,"2,300",RAC 11
Aitkin,Aitkin Community Education,225 2nd St SW,Aitkin,MN,56431,Other,Under $25K,460,RAC 03
Aitkin,Aitkin County Historical Society,"20 Pacific Street SW, PO Box 215",Aitkin,MN,56431,History,Under $25K,,RAC 03
Aitkin,Great River String Ensemble,23569 435th Ave,Aitkin,MN,56431,Performing Arts,Under $25K,480,RAC 03
Aitkin,"Jaques Art Center, Inc.",121 2nd St NW,Aitkin,MN,56431-1319,VIsual Arts & Architecture,$25K-$100K,"1,300",RAC 03
"Aitkin, Crow Wing, Kanabec, Mille Lacs, Pine",Mille Lacs Band of Ojibwe/History Project,43408 Oodena Drive,Onamia,MN,56359,History,Under $25K,"8,800",RAC 07E
"Aitkin, Mille Lacs, Pine",U of M/Duluth Campus/History Project,"450 McNamara Alumni Center, 200 Oak Street Southeast",Minneapolis,MN,55455,History,$100K-$250-K,,RAC 03
Anoka,Anoka County Historical Society,2135 Third Avenue N,Anoka,MN,55303,History,Under $25K,,RAC 11
Anoka,Banfill-Locke Center for the Arts,6666 River Rd E,Fridley,MN,55432-4229,Arts Multipurpose,$25K-$100K,"8,000",RAC 11
Anoka,Bridgeview Center,7954 University Ave NE,Fridley,MN,55432,VIsual Arts & Architecture,$25K-$100K,"1,000",RAC 11
Anoka,City of Blaine - Arts Programs,10801 Town Square Dr,Blaine,MN,55449,Arts Multipurpose,$25K-$100K,"1,000",RAC 11
Anoka,Fridley Community Theatre,6085 7th St NE,Fridley,MN,55432,Performing Arts,$25K-$100K,"1,700",RAC 11
Anoka,"Lyric Arts Company of Anoka, Inc.",420 East Main Street,Anoka,MN,55303-2341,Performing Arts,$1M-$5M,"28,261",RAC 11
Anoka,Mama Mosaic Theater,4749 5th St NE,Columbia Heights,MN,55421,Performing Arts,$25K-$100K,50,RAC 11
Anoka,Musikgarten of Anoka,1923 Third Ave. S.,Anoka,MN,55303-2422,Performing Arts,$25K-$100K,421,RAC 11
Anoka,North Artists' Studio Crawl,3427 217th Ave NE,East Bethel,MN,55011,VIsual Arts & Architecture,Under $25K,"1,550",RAC 11
Anoka,Northeast Orchestra,1451 Glacier Ln,Fridley,MN,55421-1330,Performing Arts,Under $25K,750,RAC 11
Anoka,Northern Starz Theatre,14418 Wintergreen St NW,Andover,MN,55304,Performing Arts,$25K-$100K,500,RAC 11
Anoka,Northern Symphony Orchestra,832 38th Ave N,Anoka,MN,55303,Performing Arts,Under $25K,"1,000",RAC 11
Anoka,Women of the West Quilters,5925 Hackmann Ave NE,Fridley,MN,55432,VIsual Arts & Architecture,Under $25K,430,RAC 11
"Anoka, Hennepin, Redwood, Renville, Yellow Medicine",Oyate Nipi Kte,2930 Lincoln St. NE,Minneapolis,MN,55418,History,$25K-$100K,"5,100",RAC 11
Becker,DEBWE Youth Organization,1030 Campbell Ave,Detroit Lakes,MN,56501,Arts Multipurpose,Under $25K,950,RAC 04
Becker,Historic Holmes Theatre,806 Summit Ave.,Detroit Lakes,MN,56501-2940,Arts Multipurpose,$250K-$1M,"12,160",RAC 04
Becker,Lake Region Writers Network,1220 Minnesota Ave,Detroit Lakes,MN,56501-3912,Literary Arts,Under $25K,116,RAC 04
"Becker, Beltrami, Clay, Clearwater, Kittson, Lake of the Woods, Mahnomen, Marshall, Norman, Polk, Red Lake, Roseau, Pennington",Minnesota's Historic Northwest,412 Geary Avenue NE,Bagley,MN,56621,History,Under $25K,,RAC 02
Beltrami,Beltrami County Historical Society,130 Minnesota Ave SW,Bemidji,MN,56601,History,Under $25K,600,RAC 02
Beltrami,"Bemidji Chorale, Inc.",P.O. Box 1543,Bemidji,MN,56619-1543,Performing Arts,Under $25K,"5,800",RAC 02
Beltrami,Bemidji Community Theater,4840 Knollwood Dr NE,Bemidji,MN,56601-7061,Performing Arts,$25K-$100K,"4,947",RAC 03
Beltrami,Bemidji First City of Arts Studio Cruise,50088 County Rd 29,Bemidji,MN,56601,Arts Multipurpose,Under $25K,415,RAC 02
Beltrami,Bemidji Sculpture Walk,24011 Hwy. 89 NW,Puposky,MN,56667-6840,VIsual Arts & Architecture,Under $25K,"4,000",RAC 02
Beltrami,Bemidji Symphony Orchestra,519 Minnesota Avenue NW,Bemidji,MN,56601-3024,Performing Arts,$100K-$250-K,"3,508",RAC 03
Beltrami,Headwaters School of Music & the Arts,519 Minnesota Avenue NW,Bemidji,MN,56601-3024,Performing Arts,$100K-$250-K,"1,950",RAC 02
Beltrami,Headwaters Science Center,413 Beltrami Ave,Bemidji,MN,56601,Other,$250K-$1M,"22,665",RAC 02
Beltrami,Hospitality Initiative of Servant Hearts,PO Box 1116,Bemidji,MN,56619,Performing Arts Arts,Under $25K,250,RAC 02
Beltrami,Lakeland Public Television KAWE/KAWB,108 Grant Avenue NE,Bemidji,MN,56601,Media & Communications,$1M-$5M,0,RAC 02
Beltrami,Mask and Rose Women's Theater Collective,24011 Hwy. 89 NW,Puposky,MN,56667-6840,Performing Arts Arts,Under $25K,"4,850",RAC 02
Beltrami,Minnesota Northwoods Writers Conference,1500 Birchmont Dr NE Ste 4,Bemidji,MN,56601-2699,Literary Arts,$25K-$100K,200,RAC 02
Beltrami,North Beltrami Heritage Center,125 Clark Street,Kelliher,MN,56650,History,Under $25K,350,RAC 02
Beltrami,Northern Artist Association,502 3rd St NW,Bemidji,MN,56601-4007,VIsual Arts & Architecture,$25K-$100K,"4,819",RAC 02
Beltrami,Paul Bunyan Playhouse,314 Beltrami Ave,Bemidji,MN,56601-3105,Performing Arts,$100K-$250-K,"7,101",RAC 02
Beltrami,Rail River Folk School,303 Railroad St SW Ste B,Bemidji,MN,56601,Performing Arts Arts,Under $25K,200,RAC 02
Beltrami,Red Lake Economic Development and Planning,PO Box 588,Red Lake,MN,56671,History,Under $25K,500,RAC 02
Beltrami,Region 2 Arts Council,426 Bemidji Avenue North,Bemidji,MN,56601-3139,Other,$100K-$250-K,238,RAC 02
Beltrami,Turtle Lake Township/History Project,1062 Rodeo Drive NW,Bemidji,MN,56601,History,Under $25K,,RAC 02
Beltrami,Vocalmotive,3345 River Park Ct NE,Bemidji,MN,56601,Performing Arts Arts,$25K-$100K,"5,000",RAC 02
Beltrami,Watermark Art Center/Bemidji Community Arts Council,505 Bemidji Ave N,Bemidji,MN,56601-3139,VIsual Arts & Architecture,$100K-$250-K,"5,100",RAC 02
Benton,Benton County Historical Society,"P.O. Box 426, 218 First Street North",Sauk Rapids,MN,56379,History,Under $25K,,RAC 07W
Benton,Central Minnesota Arts Board,"220 4th Ave North, PO Box 458",Foley,MN,56329-8442,Other,$250K-$1M,0,RAC 07W
Benton,Central Minnesota Youth Orchestra,606 Wilson Ave NE,Saint Cloud,MN,56304,Performing Arts,Under $25K,168,RAC 07W
Benton,Hillside Adult Education,30 4th Ave S,Sauk Rapids,MN,56379,Other,Under $25K,17,RAC 07W
Benton,Munsinger Clemens Botanical Society,PO Box 7594,Saint Cloud,MN,56302,Performing Arts,$25K-$100K,"2,440",RAC 07W
Benton,North East Wilson Park Neighborhood Association,624 Riverside Dr NE,Saint Cloud,MN,56304,VIsual Arts & Architecture,Under $25K,"3,050",RAC 07W
Benton,City of St. Cloud,,Saint Cloud,MN,,Other,Under $25K,0,RAC 07W
Benton,The St. Cloud Area All Star Jazz Band,,St Cloud,MN,,Performing Arts,$25K-$100K,"2,145",RAC 07W
Big Stone,Big Stone Arts Council,61 Dahle Ave PO Box 42,Ortonville,MN,56278,Arts Multipurpose,Under $25K,111,RAC 068
Blue Earth,Arts n More Festival,P. O. Box 443,Amboy,MN,56010-9795,Arts Multipurpose,Under $25K,700,RAC 09
Blue Earth,Bethany Lutheran College,700 Luther Dr,Mankato,MN,56001,Arts Multipurpose,Under $25K,460,RAC 09
Blue Earth,Blue Earth County 4-H,PO Box 8608,Mankato,MN,56002,Arts Multipurpose,Under $25K,83,RAC 09
Blue Earth,Boy In Blue Civil War Memorial,823 2nd St S,Mankato,MN,56001,VIsual Arts & Architecture,$25K-$100K,"5,125",RAC 09
Blue Earth,Children's Museum of Southern Minnesota,224 Lamm Street,Mankato,MN,56001-2305,Other,$250K-$1M,"7,630",RAC 09
Blue Earth,City Center Partnership - CityArt Program,PO Box 193,Mankato,MN,56002-0193,VIsual Arts & Architecture,$100K-$250-K,"10,050",RAC 09
Blue Earth,CityArt Sculpture Walk,PO Box 193,Mankato,MN,56002,VIsual Arts & Architecture,$25K-$100K,"5,534",RAC 09
Blue Earth,Dance Conservatory of Southern Minnesota,1400 Madison Ave Suite 202,Mankato,MN,56001-5477,Performing Arts,$100K-$250-K,350,RAC 09
Blue Earth,Good Thunder Reading Series,230 Armstrong Hall,Mankato,MN,56001-6028,Literary Arts,$100K-$250-K,"2,005",RAC 09
Blue Earth,"Kearney International Center, Minnesota State University Mankato",250 Centennial Student Union,Mankato,MN,56001-6002,Arts Multipurpose,Under $25K,"2,500",RAC 09
Blue Earth,Lake Crystal Area Community Band,776 Humphrey St E,Lake Crystal,MN,56055,Performing Arts,$250K-$1M,500,RAC 09
Blue Earth,Lincoln Election Dramatic Play,PO Box 317 25 Winnebago Cir,St Clair,MN,56080,Performing Arts,Under $25K,185,RAC 09
Blue Earth,Mankato Area 77 Lancers Marching Band Parent Assoc. Inc.,110 Fulton Street,Mankato,MN,56001-2520,Performing Arts,$100K-$250-K,"350,100",RAC 09
Blue Earth,Mankato Area Arts Council,120 S Broad St,Mankato,MN,56001-3611,VIsual Arts & Architecture,$25K-$100K,"2,050",RAC 09
Blue Earth,Mankato Area Community Band,104 Chatsworth Drive,Mankato,MN,56001-5870,Performing Arts,Under $25K,"4,117",RAC 09
Blue Earth,Mankato Area Youth Symphony Orchestra,P.O. Box 4311,Mankato,MN,56002-4311,Performing Arts,Under $25K,517,RAC 09
Blue Earth,Mankato Ballet Company,731 S. Front Street,Mankato,MN,56002-0114,Performing Arts,$100K-$250-K,246,RAC 09
Blue Earth,Mankato Children's Chorus,PO Box 3482,Mankato,MN,56002-3482,Performing Arts,$25K-$100K,"3,135",RAC 09
Blue Earth,Mankato State University,202 Earley Ctr for Perf Arts,Mankato,MN,56001,Performing Arts,$25K-$100K,"1,400",RAC 09
Blue Earth,Mankato Symphony Orchestra,PO Box 645,Mankato,MN,56002-0645,Performing Arts,$250K-$1M,"6,308",RAC 09
Blue Earth,Maple River Community Education,PO Box 515,Mapleton,MN,56065,Arts Multipurpose,Under $25K,150,RAC 09
Blue Earth,"Merely Players Community Theatre, Inc.",PO Box 3637,Mankato,MN,56002-3637,Performing Arts,$25K-$100K,"3,364",RAC 09
Blue Earth,Minnesota State University Mankato Performance Series ,"320 Maywood Avenue, 202 Perf. Arts Center",Mankato,MN,56001-7006,Performing Arts,$100K-$250-K,"9,170",RAC 09
Blue Earth,"Minnesota State University, Mankato (Department of Anthropology)/History Project",358 Trafton Science Center North,Mankato,MN,56001,History,Under $25K,,RAC 09
Blue Earth,Minnesota Valley Chorale,523 South Second Street,Mankato,MN,56001-3705,Performing Arts,Under $25K,610,RAC 09
Blue Earth,MRCI WorkSource,PO Box 328,Mankato,MN,56002,Other,Under $25K,700,RAC 09
Blue Earth,Musicorum,325 Gull Path,Mankato,MN,56001,Performing Arts,Under $25K,192,RAC 09
Blue Earth,Riverblenders Chorus of Mankato,100 Dublin Rd Apt 3305,Mankato,MN,56001,Performing Arts,$25K-$100K,"5,554",RAC 09
Blue Earth,Rock Bend Folk Festival,823 South Second St,Mankato,MN,56001-3813,Performing Arts,$25K-$100K,"14,200",RAC 09
Blue Earth,The 410 Project,523 Front St S,Mankato,MN,56001,VIsual Arts & Architecture,Under $25K,74,RAC 09
Blue Earth,Twin Rivers Council for the Arts,523 S. Second Street,Mankato,MN,56001-3705,Arts Multipurpose,$100K-$250-K,"3,325",RAC 09
Brown,Brown County Historical Society,2 North Broadway,New Ulm,MN,56073,History,$25K-$100K,,RAC 09
Brown,Community and Seniors Together,600 N German St,New Ulm,MN,56073-1673,Other,$25K-$100K,322,RAC 09
Brown,Friends of German Park,812 S Broadway,New Ulm,MN,56073,Humanities,Under $25K,"5,000",RAC 09
Brown,GnomeMade Artisans,622 Center St,New Ulm,MN,56073,Performing Arts,Under $25K,"1,330",RAC 09
Brown,Healthy Community/Healthy Youth,125 Broadway St S,New Ulm,MN,56073-3114,Arts Multipurpose,$25K-$100K,465,RAC 09
Brown,Hermann Monument Society,10 Monument St PO Box 643,New Ulm,MN,56073,Arts Multipurpose,Under $25K,"3,574",RAC 09
Brown,Irish Cultural Society of New Ulm,57556 County Road 21,New Ulm,MN,56073-5539,Performing Arts,Under $25K,285,RAC 09
Brown,Lind House Association,622 Center St,New Ulm,MN,56073,History,$25K-$100K,"1,400",RAC 09
Brown,"New Ulm Battery, Inc",PO Box 611,New Ulm,MN,56073,History,Under $25K,"1,050",RAC 09
Brown,New Ulm Chamber of Commerce,1 N Minnesota St,New Ulm,MN,56073,Other,Under $25K,"2,724",RAC 09
Brown,New Ulm Civil War Commemoration Committee,812 S Broadway St,New Ulm,MN,56073,History,Under $25K,550,RAC 09
Brown,New Ulm Suzuki School of Music,113 S State St,New Ulm,MN,56073-3155,Performing Arts,$25K-$100K,600,RAC 09
Brown,New Ulm Turnverein,102 South State Street,New Ulm,MN,56073,History,Under $25K,,RAC 09
Brown,Quiltistry,16688 Blooming Woods Dr,New Ulm,MN,56073,VIsual Arts & Architecture,Under $25K,400,RAC 09
Brown,Sleepy Eye Area Concertina Club,32667 270th Street,Sleepy Eye,MN,56085-4636,Performing Arts,Under $25K,"3,800",RAC 09
Brown,Sleepy Eye Area Historical Society,100 Oak St NW,Sleepy Eye,MN,56085,History,Under $25K,330,RAC 09
Brown,Sleepy Eye Community Education,400 4th Ave SW,Sleepy Eye,MN,56085-1204,Arts Multipurpose,Under $25K,375,RAC 09
Brown,Springfield Community Theatre,PO Box 61,Springfield,MN,56087-0061,Performing Arts,Under $25K,520,RAC 09
Brown,State Street Theater Co.,"15 N State Street, #302",New Ulm,MN,56073-1854,Performing Arts,$25K-$100K,"2,250",RAC 09
Brown,The Concord Singers,PO Box 492,New Ulm,MN,56073-0492,Performing Arts,$25K-$100K,800,RAC 09
Brown,"The Grand Center for Arts & Culture, Inc.","210 North Minnesota Street, PO Box 872",New Ulm,MN,56073-1732,Arts Multipurpose,$100K-$250-K,"2,520",RAC 09
Brown,Wanda Gag House Association,226 Washington St N,New Ulm,MN,56073-0432,VIsual Arts & Architecture,Under $25K,"1,225",RAC 09
Carlton,County Seat Theater Company,2035 Hwy 33 S,Cloquet,MN,55720,Performing Arts,$100K-$250-K,"5,090",RAC 03
Carlton,Oldenburg Art and Cultural Community,604 Chestnut Ave,Carlton,MN,55718,Arts Multipurpose,Under $25K,250,RAC 03
Carver,Central Public Schools,318 Hwy 212,Norwood Young America,MN,55368-0247,Performing Arts,Under $25K,300,RAC 11
Carver,Centre Stage Theatre and Arts,318 Hwy 212,Norwood Young America,MN,55368,Performing Arts,Under $25K,600,RAC 11
Carver,Chaska Valley Family Theatre,1661 Park Ridge Dr,Chaska,MN,55318-2841,Performing Arts,$100K-$250-K,"6,000",RAC 11
Carver,Chaske Cikala Wacipi,549 Saxony Ct,Chaska,MN,55318,Arts Multipurpose,Under $25K,150,RAC 11
Carver,City of Carver/History Project,"316 Broadway, PO Box 147",Carver,MN,55315,History,Under $25K,,RAC 11
Carver,Eastern Carver County Schools Community Education,11 Peavey Rd,Chaska,MN,55318-2321,Arts Multipurpose,Under $25K,"2,000",RAC 11
Carver,Edge of the Big Woods Art Wander,420 Lake St E,Waconia,MN,55387,VIsual Arts & Architecture,Under $25K,10,RAC 11
Carver,Nordic Heritage Club,3225 Mcknight Rd c/o Carolyn Spargo,Chaska,MN,55318,Performing Arts,Under $25K,100,RAC 11
Carver,River City Theatre Company,145 Arnica Dr,Watertown,MN,55388,Performing Arts,Under $25K,700,RAC 11
Carver,Watertown-Mayer Community Education,313 Angel Ave NW,Watertown,MN,55388-9422,Performing Arts,Under $25K,50,RAC 11
Carver,Arts Consortium of Carver County,2892 Fairway Dr.,Chanhassen,MN,55318,Arts Multipurpose,Under $25K,"63,730",RAC 11
Carver,Minnesota Landscape Arboretum,,Chanhassen,MN,,Other,Over 10M,"325,329",RAC 11
Carver,Norwegian Glee Club of Minneapolis,7642 Prairie Flower Blvd,Chanhassen,MN,55317,Performing Arts,$25K-$100K,"11,000",RAC 11
"Carver, Statewide",Carver County Historical Society,555 West First Street,Waconia,MN,55387,History,$25K-$100K,,RAC 11
"Carver, Statewide",Three Rivers Park District/History Project,3000 Xenium Lane N,Plymouth,MN,55441,History,$100K-$250-K,"4,000",RAC 11
Cass,Lakes Bluegrass Festival,102 Barclay Ave W,Pine River,MN,56474,Performing Arts,$25K-$100K,"3,353",RAC 05
Cass,Longville Area Community Choir,PO Box 122,Longville,MN,56655,Performing Arts,Under $25K,"1,650",RAC 05
Cass,Minnesota Folklore Theater,"100 Highland Ave W, Box 1052",Walker,MN,56484-1052,Performing Arts,$25K-$100K,"2,500",RAC 05
Cass,Northwoods Arts Council,PO Box 356,Hackensack,MN,56452-0356,Arts Multipurpose,Under $25K,"10,000",RAC 05
Cass,Walker-Hackensack-Akeley Community Education,PO Box 4000,Walker,MN,56484-4000,Arts Multipurpose,Under $25K,280,RAC 05
"Cass, Crow Wing","Heritage Group North, Inc.",PO Box 266,Pine River,MN,56474,History,Under $25K,,RAC 05
Chippewa,Chippewa County Historical Society,151 Arnie Anderson Drive,Montevideo,MN,56265,History,$100K-$250-K,"6,500",RAC 068
Chippewa,City of Montevideo - arts and history projects,"103 Canton Ave, PO Box 517",Montevideo,MN,56265,History,Under $25K,,RAC 068
Chippewa,Milan Village Arts School,97 Washington Ave.,Milan,MN,56262-0230,VIsual Arts & Architecture,$100K-$250-K,"2,350",RAC 068
Chippewa,Milwaukee Road Heritage Center,301 State Road,Montevideo,MN,56265,History,Under $25K,,RAC 068
Chisago,Center City Opera Company,15997 400th Street,Center City,MN,55012-7536,Performing Arts,Under $25K,200,RAC 07E
Chisago,City of Lindstrom - Karl Oskar Days Committee,13292 Sylvan Avenue,Lindstrom,MN,55045-8455,Performing Arts,$25K-$100K,"10,113",RAC 07E
Chisago,City of Lindstrom - Park Commission,13292 Sylvan Avenue,Lindstrom,MN,55045-8455,Other,$250K-$1M,"5,000",RAC 07E
Chisago,Family Pathways,6413 Oak St,North Branch,MN,55056-5129,Other,$25K-$100K,70,RAC 07E
Chisago,Franconia Sculpture Park,29836 St. Croix Trail,Shafer,MN,55074-9743,VIsual Arts & Architecture,$250K-$1M,"99,405",RAC 07E
Chisago,We R Able,425 S Dana Ave PO Box 637,Rush City,MN,55069,Other,$25K-$100K,"3,139",RAC 07E
Chisago,Wyoming Area Creative Arts Community,26189 Galen Dr,Wyoming,MN,55092-9341,Arts Multipurpose,Under $25K,"2,300",RAC 07E
Chisago County,St. Croix Valley Potters Tour,,Shafer,MN,,VIsual Arts & Architecture,$25K-$100K,"4,300",RAC 07E
Clay,City of Barnesville/History Project,"PO Box 550, 102 Front Street North",Barnesville,MN,56514,History,Under $25K,,RAC 04
Clay,City of Moorhead/History Project,324 S 24th Street,Moorhead,MN,56560,History,Under $25K,,RAC 04
Clay,Concordia Percussion Ensemble,901 8th St S Concordia Music Dept,Moorhead,MN,56560,Performing Arts,Under $25K,"1,050",RAC 04
Clay,Cormorant Area Art Club,3303 7th Ave N,Moorhead,MN,56560-2596,VIsual Arts & Architecture,Under $25K,822,RAC 04
Clay,"Fargo-Moorhead Chamber Chorale, Inc.",PO Box 968,Moorhead,MN,56561,Performing Arts,$25K-$100K,"2,000",RAC 04
Clay,Fargo-Moorhead Choral Artists,"824 Center Avenue, PO Box 986",Moorhead,MN,56561-0986,Performing Arts,$25K-$100K,500,RAC 04
Clay,Gooseberry Park Players,P.O. Box 362,Moorhead,MN,56560-0362,Performing Arts,$25K-$100K,"2,700",RAC 04
Clay,Heritage Education Commission,4010 3 St S,Moorhead,MN,56560,History,Under $25K,,RAC 04
Clay,Historical and Cultural Society of Clay County,202 1st Ave. N.,Moorhead,MN,56560-1985,History,$250K-$1M,"26,000",RAC 04
Clay,Minnesota State University Moorhead,"1104 7th Ave South, Bridges 250",Moorhead,MN,56563-0001,Arts Multipurpose,$25K-$100K,"1,380",RAC 04
Clay,New Rivers Press,1104 7th Avenue South,Moorhead,MN,56563-0001,Literary Arts,$100K-$250-K,0,RAC 04
Clay,Nordic Culture Clubs,202 1st Ave. N.,Moorhead,MN,56560-1985,Arts Multipurpose,$25K-$100K,"20,907",RAC 04
Clay,Rourke Art Gallery Museum,521 Main Avenue,Moorhead,MN,56560-2748,VIsual Arts & Architecture,$250K-$1M,"3,600",RAC 04
Clearwater,Bagley Art in the Park,18 Main Ave S,Bagley,MN,56621,Arts Multipurpose,Under $25K,300,RAC 02
Clearwater,Clearbrook-Gonvick Summer Recreation,16770 Clearwater Lake Rd,Clearbrook,MN,56634,Performing Arts,Under $25K,195,RAC 02
Clearwater,Clearwater County Historical Society,246 First Street W,Shevlin ,MN,56676,History,$25K-$100K,"1,100",RAC 02
Cook,Borealis Chorale,959 Cutoff Rd,Grand Marais,MN,55604,Performing Arts,Under $25K,700,RAC 03
Cook,Good Harbor Hill Players,301 W 1st St PO Box 68,Grand Marais,MN,55604,Performing Arts,Under $25K,250,RAC 03
Cook,Grand Marais Art Colony,"120 W. 3rd Ave, PO Box 626",Grand Marais,MN,55604-0626,VIsual Arts & Architecture,$100K-$250-K,"15,293",RAC 03
Cook,Grand Marais Playhouse,PO Box 996,Grand Marais,MN,55604-0996,Performing Arts,$100K-$250-K,"2,440",RAC 03
Cook,North House Folk School,500 West Highway 61 - PO Box 759,Grand Marais,MN,55604-2348,VIsual Arts & Architecture,$1M-$5M,"21,410",RAC 03
Cook,North Shore Music Association,PO Box 1376,Grand Marais,MN,55604-1376,Performing Arts,$100K-$250-K,729,RAC 03
Cook,Sky Blue Jazz Ensemble,1701 5th St W,Grand Marais,MN,55604,Performing Arts,Under $25K,650,RAC 03
Cook,WTIP-FM Cook County Community Radio,,Grand Marais,MN,,Media & Communications,$100K-$250-K,"1,200",RAC 03
Cook,Art 'Round Town,,Grand Marais,MN,,VIsual Arts & Architecture,Under $25K,100,RAC 03
Cook,Cook County Community Radio Corporation,,Grand Marais,MN,,Media & Communications,$25K-$100K,"2,950",RAC 03
Cook,Cook County Historical Society Museum,,Grand Marais,MN,,History,$100K-$250-K,"4,552",RAC 03
Cook,Empty bowls,,Grand Marais,MN,,VIsual Arts & Architecture,Under $25K,500,RAC 03
Cook,Gunflint Trail Historical Society,,Grand Marais,MN,,History,$25K-$100K,"8,500",RAC 03
Cook,Hovland Arts Festival,,Hovland,MN,,VIsual Arts & Architecture,Under $25K,"1,000",RAC 03
Cook,Johnson Heritage Post Art Gallery,,Grand Marais,MN,,Arts Multipurpose,$25K-$100K,"9,000",RAC 03
Cook,Schroeder Area Historical Society,,Schroeder,MN,,History,$25K-$100K,"8,000",RAC 03
Cook,Sugarloaf Cove Nature Center,,Schroeder,MN,,Other,$100K-$250-K,"7,000",RAC 03
Cottonwood,Hamline University/History Project,1536 Hewitt Avenue,Saint Paul,MN,55104,History,$25K-$100K,,RAC 11
Cottonwood,Prairie Arts Continuum,PO Box 6,Windom,MN,56101,Performing Arts,$25K-$100K,"1,450",RAC 068
Cottonwood,Prairie Wind Folk Music and Bluegrass Association,1345 8th Ave,Windom,MN,56101,Performing Arts,Under $25K,470,RAC 068
Crow Wing,Central Lakes Community Performing Arts Center,501 W College Dr,Brainerd,MN,56401-3904,Performing Arts,$250K-$1M,"5,922",RAC 05
Crow Wing,Crossing Arts Alliance,1001 Kingwood St Ste 114,Brainerd,MN,56401,Arts Multipurpose,$100K-$250-K,"1,100",RAC 05
Crow Wing,Crow Wing County/History Project,"Historic Courthouse, 326 Laurel Street, Suite 13",Brainerd,MN,56401,History,Under $25K,,RAC 05
Crow Wing,FoxFire Festivals,7579 St Mathias Rd PO Box 462,Brainerd,MN,56401,Arts Multipurpose,Under $25K,525,RAC 05
Crow Wing,Lakes Area Music Festival,PO Box 96,Brainerd,MN,56401,Performing Arts,$25K-$100K,"1,177",RAC 05
Crow Wing,Legacy Chorale of Greater Minnesota,PO Box 2751,Baxter,MN,56425-2751,Performing Arts,$25K-$100K,"1,200",RAC 05
Dakota,Allegro Choral Academy,PO Box 241325,Apple Valley,MN,55124,Performing Arts,$25K-$100K,134,RAC 11
Dakota,Ameriikan Poijat Finish Brass Band,608 Zanmiller Dr W,Northfield,MN,55057-1207,Performing Arts,Under $25K,"4,000",RAC 10
Dakota,Art and All that Jazz Inc.,1305 Lacota Ln,Burnsville,MN,55337,Arts Multipurpose,$25K-$100K,"2,000",RAC 11
Dakota,Black Dirt Theater,213 Sibley St,Hastings,MN,55033,Performing Arts,$100K-$250-K,"4,250",RAC 11
Dakota,Burnsville Visual Arts Society,PO Box 104,Burnsville,MN,55337,VIsual Arts & Architecture,Under $25K,"1,085",RAC 11
Dakota,Cannon Valley Youth Orchestra,1506 Rolvaag Ct,Northfield,MN,55057,Performing Arts,Under $25K,275,RAC 10
Dakota,Caponi Art Park,1205 Diffley Road,Saint Paul,MN,55123-1415,Arts Multipurpose,$100K-$250-K,"18,000",RAC 11
Dakota,Chamber Music Lakeville,6857 133rd St W,Apple Valley,MN,55124,Performing Arts,Under $25K,150,RAC 11
Dakota,Chameleon Theatre Circle,5664 142nd St W c/o Jim Vogel,Apple Valley,MN,55124,Performing Arts,$25K-$100K,400,RAC 11
Dakota,City of Eagan Parks and Recreation,3830 Pilot Knob Rd Eagan Art House,Eagan,MN,55122-1810,VIsual Arts & Architecture,$100K-$250-K,30,RAC 11
Dakota,CLIMB Theatre,6415 Carmen Ave East,Inver Grove Heights,MN,55076-4428,Performing Arts,$1M-$5M,"162,873",RAC 11
Dakota,Dakota Valley Symphony,PO Box 1241,Burnsville,MN,55337-2455,Performing Arts,$25K-$100K,564,RAC 11
Dakota,Eagan Art Festival,PO Box 211609,Eagan,MN,55121,Arts Multipurpose,$25K-$100K,"7,100",RAC 11
Dakota,Eagan Men's Chorus,4210 Heine Strasse St,Eagan,MN,55122-1805,Performing Arts,Under $25K,"3,000",RAC 11
Dakota,Ebenezer Ridges Care Center,13820 Community Dr,Burnsville,MN,55337,Other,$25K-$100K,20,RAC 11
Dakota,Exultate,P.O. Box 22314,Eagan,MN,55122-0314,Performing Arts,$250K-$1M,"4,790",RAC 11
Dakota,Farmington Community Education,6100 195th St W,Farmington,MN,55024,Performing Arts,$25K-$100K,"2,000",RAC 11
Dakota,Friends of the Heritage Library,20085 Heritage Drive,Lakeville,MN,55044-6870,Arts Multipurpose,Under $25K,300,RAC 11
Dakota,Hastings Prescott Area Arts Council/HPAAC,1629 Vermillion Street,Hastings,MN,55033-3139,Arts Multipurpose,Under $25K,555,RAC 11
Dakota,International Festival of Burnsville,100 Civic Center Pkwy,Burnsville,MN,55337-3817,Performing Arts,$25K-$100K,"2,800",RAC 11
Dakota,International Friendship Through the Performing Arts,1960 Cliff Lake Rd Ste 129-219,Eagan,MN,55122,Performing Arts,$25K-$100K,920,RAC 11
Dakota,IZUN/MIZAN: A Film and Dialogue Series,1710 Vicki Ln,Mendota Heights,MN,55118,Media & Communications,Under $25K,325,RAC 11
Dakota,Lakeville Area Arts Center/City of Lakeville,20965 Holyoke Avenue,Lakeville,MN,55044-8339,VIsual Arts & Architecture,$250K-$1M,"57,447",RAC 11
