  County , ORGANIZATION NAME , Address , City ,State, Zip , DISCIPLINE ,Budget Category,   ANNUAL AUDIENCE SERVED ,Regional Arts Council
Stevens,Prairie Renaissance Cultural Alliance,630 Atlantic Avenue,Morris,MN,56267-1327,Arts Multipurpose,$25K-$100K,350,RAC 04
Stevens,Stevens County Historical Society,116 W 6th Street,Morris,MN,56267,History,Under $25K,,RAC 04
Swift,Appleton 52 Wing Restoration Committee,PO Box 52,Appleton,MN,56208,Performing Arts,Under $25K,"1,520",RAC 068
Swift,Meander Art Crawl,323 Schlieman Ave W,Appleton,MN,56208,Visual Arts & Architecture,$25K-$100K,"2,220",RAC 068
Swift,Swift County Concert Band,149 E Rooney Ave,Appleton,MN,56208-1531,Performing Arts,Under $25K,160,RAC 068
Todd,Abandoned Scout Camp,504 Front St N PO Box 36,Hewitt,MN,56453,Arts Multipurpose,Under $25K,800,RAC 05
Todd,Central Minnesota Boy's Choir,PO Box 334,Staples,MN,56479,Performing Arts,Under $25K,500,RAC 05
Todd,"Colla Voce Choir, Inc.",325 2nd Ave NE PO Box 294,Staples,MN,56479,Performing Arts,Under $25K,800,RAC 05
Todd,"Dreams United/Suenos Unidos, Inc.",15261 County Rd 38,Long Prairie,MN,56347,Arts Multipurpose,Under $25K,950,RAC 05
Todd,Five Wings Arts Council,"121 4th Street NE, PO Box 118",Staples,MN,56479-2545,Other,$100K-$250-K,175,RAC 05
Todd,Lamplighter Community Theatre,PO Box 234,Staples,MN,56479-0234,Performing Arts,Under $25K,700,RAC 05
Todd,Long Prairie Chamber Orchestra,PO Box 84,Long Prairie,MN,56347,Performing Arts,Under $25K,800,RAC 05
Todd,Old Wadena Society,PO Box 172,Staples,MN,56479,History,Under $25K,500,RAC 05
Todd,Staples All Veterans and Community Park Association,425 4th St NE,Staples,MN,56479,Visual Arts & Architecture,$25K-$100K,"4,350",RAC 05
Todd,"Staples Area Men's Chorus, Inc.","28728 Snowshoe Trail, PO Box 114",Staples,MN,56479-4018,Performing Arts,$25K-$100K,"4,404",RAC 05
Todd,Staples Motley Area Arts Council,1003 3rd Ave NE PO Box 132,Staples,MN,56479,Arts Multipurpose,$25K-$100K,"1,800",RAC 05
Todd,Todd County Historical Society,333 Central Avenue,Long Prairie,MN,56347,History,Under $25K,,RAC 05
Wabasha,Renewing the Countryside  - Arts Programs,59846 County 68 PO Box 1,Zumbro Falls,MN,55991,Arts Multipurpose,Under $25K,542,RAC 10
Wabasha,Wabasha County Historical Society,PO Box 255,Lake City,MN,55041,History,$250K-$1M,,RAC 10
Wadena,Green Island,850 Scheer Dr NE,Wadena,MN,56482,Arts Multipurpose,Under $25K,850,RAC 05
Wadena,"Madhatters, Inc.","215 Jefferson St. S., PO Box 127",Wadena,MN,56482-1531,Performing Arts,Under $25K,601,RAC 05
Wadena,Menahga Area Historical Society,PO Box 364,Menahga,MN,56464,History,Under $25K,,RAC 02
Wadena,Sounds of Spirit Lake,115 2nd St NE PO Box 376,Menahga,MN,56464,Performing Arts,Under $25K,"23,560",RAC 05
Wadena,Staples Area Women's Chorus,805 Prairie Ave NE,Staples,MN,56479,Performing Arts,Under $25K,"1,200",RAC 05
Wadena,Stimulating Economic Progress,114 Jefferson St S,Wadena,MN,56482,Visual Arts & Architecture,Under $25K,"4,215",RAC 05
Wadena,Wadena Area Community Band,1711 Southbrook Ln,Wadena,MN,56482,Performing Arts,Under $25K,"1,043",RAC 05
