Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Tot_pop,pop_16u,lab_force,armed_for,civilian,emplyd,unemplyd,not_labor,,,In labor force:,"7,114"
27075,05000US27075,"Lake County, Minnesota","Lake County, Minnesota",mn,50,0,ACSSF,50,27,75,10791,9062,5121,0,5121,4837,284,3941,,,,
27077,05000US27077,"Lake of the Woods County, Minnesota","Lake of the Woods County, Minnesota",mn,50,0,ACSSF,51,27,77,3976,3320,2064,0,2064,1986,78,1256,,,,
27079,05000US27079,"Le Sueur County, Minnesota","Le Sueur County, Minnesota",mn,50,0,ACSSF,52,27,79,27717,21626,15400,33,15367,14467,900,6226,,,,
27081,05000US27081,"Lincoln County, Minnesota","Lincoln County, Minnesota",mn,50,0,ACSSF,53,27,81,5821,4682,3072,2,3070,2989,81,1610,,,,
27083,05000US27083,"Lyon County, Minnesota","Lyon County, Minnesota",mn,50,0,ACSSF,54,27,83,25724,20064,14766,4,14762,14119,643,5298,,,,
27085,05000US27085,"McLeod County, Minnesota","McLeod County, Minnesota",mn,50,0,ACSSF,55,27,85,36172,28317,19672,13,19659,18670,989,8645,,,,
27087,05000US27087,"Mahnomen County, Minnesota","Mahnomen County, Minnesota",mn,50,0,ACSSF,56,27,87,5486,3969,2439,0,2439,2190,249,1530,,,,
27089,05000US27089,"Marshall County, Minnesota","Marshall County, Minnesota",mn,50,0,ACSSF,57,27,89,9447,7521,5020,4,5016,4772,244,2501,,,,
27091,05000US27091,"Martin County, Minnesota","Martin County, Minnesota",mn,50,0,ACSSF,58,27,91,20515,16570,10875,2,10873,10392,481,5695,,,,
27093,05000US27093,"Meeker County, Minnesota","Meeker County, Minnesota",mn,50,0,ACSSF,59,27,93,23147,18089,12141,0,12141,11423,718,5948,,,,
27095,05000US27095,"Mille Lacs County, Minnesota","Mille Lacs County, Minnesota",mn,50,0,ACSSF,60,27,95,25891,20094,12834,3,12831,11745,1086,7260,,,,
27097,05000US27097,"Morrison County, Minnesota","Morrison County, Minnesota",mn,50,0,ACSSF,61,27,97,33054,26034,17629,4,17625,16327,1298,8405,,,,
27099,05000US27099,"Mower County, Minnesota","Mower County, Minnesota",mn,50,0,ACSSF,62,27,99,39312,30605,20391,0,20391,19068,1323,10214,,,,
27101,05000US27101,"Murray County, Minnesota","Murray County, Minnesota",mn,50,0,ACSSF,63,27,101,8586,6992,4482,4,4478,4287,191,2510,,,,
27103,05000US27103,"Nicollet County, Minnesota","Nicollet County, Minnesota",mn,50,0,ACSSF,64,27,103,32923,26322,19360,2,19358,18572,786,6962,,,,
27105,05000US27105,"Nobles County, Minnesota","Nobles County, Minnesota",mn,50,0,ACSSF,65,27,105,21589,16551,11090,11,11079,10325,754,5461,,,,
27107,05000US27107,"Norman County, Minnesota","Norman County, Minnesota",mn,50,0,ACSSF,66,27,107,6725,5388,3343,2,3341,3174,167,2045,,,,
27109,05000US27109,"Olmsted County, Minnesota","Olmsted County, Minnesota",mn,50,0,ACSSF,67,27,109,147431,114388,82864,21,82843,79169,3674,31524,,,,
27111,05000US27111,"Otter Tail County, Minnesota","Otter Tail County, Minnesota",mn,50,0,ACSSF,68,27,111,57417,46636,29165,13,29152,27638,1514,17471,,,,
27113,05000US27113,"Pennington County, Minnesota","Pennington County, Minnesota",mn,50,0,ACSSF,69,27,113,14041,11055,7807,0,7807,7514,293,3248,,,,
