County,FIPS,State,State abr.,metro_2003,civ_employ_07_11,creative_employ_07_11,creative_employ_shared,arts_pooled,arts_pooled_share,empYear,avg_estabYear,totwageYear,avgwkwageYear,Tot_pop,pop_16u,lab_force,armed_for,civilian,emplyd,unemplyd,not_labor,ce_jobs,Med_earn,avg_earn,lq,ce_per_w,ce_per_c,ad,pub,agent,arch,land,direct,curator,lib,art,craft,fine_art,multimed,comm_des,fash_des,flor_des,graph_des,int_des,merch,set_des,actor,producer,dancer,chore,music_dir,singer,radio_tv,pub_rel,editor,tech_writ,author,media_other,audio_tech,broad_tech,sound_eng,photo,camera,film,med_equip,makeup,mus_repair,pop_med_earnings,avgwages,pop_med_male,pop_med_female
Sherburne County,27141,Minnesota,MN,1,44655,10295,0.23055,490,0.01097,25845,1859,1024234872,761,89770,67220,49583,0,49583,46526,3057,17637,835,18,19,1,18,9,6,9,7,17,10,32,1,24,20,21,39,18,13,4,18,73,32,29,4,13,9,8,2,25,88,5,27,26,8,74,8,7,2,2,137,3,4,1,1,7,36289,17.44663462,44514,28040
Sibley County,27143,Minnesota,MN,0,7900,1160,0.14684,40,0.00506,4032,380,145494413,693,15096,11750,8325,0,8325,7795,530,3425,109,17,18,1,14,7,1,1,1,1,0,12,0,3,3,3,5,3,1,0,3,9,3,2,0,1,1,1,0,6,12,0,4,6,1,10,0,1,0,0,14,0,0,0,0,1,30983,14.89567308,37440,25025
Stearns County,27145,Minnesota,MN,1,79870,15515,0.19425,795,0.00995,82976,4234,3410779210,790,151728,120610,87205,52,87153,81665,5488,33405,1862,18,19,1,23,12,12,35,11,26,5,72,2,45,35,33,63,34,29,5,41,179,50,88,8,66,31,9,5,54,153,58,112,56,20,131,44,36,12,7,246,7,7,16,2,17,28114,13.51634615,33111,22490
Steele County,27147,Minnesota,MN,0,19040,3825,0.20089,115,0.00604,21530,928,845899403,756,36472,28200,19689,23,19666,18382,1284,8511,430,18,19,1,23,12,2,4,3,5,2,19,1,9,8,11,20,8,14,1,13,57,9,7,1,7,3,2,0,14,43,20,14,15,5,41,2,4,2,1,57,1,1,1,0,4,33462,16.0875,40126,26043
Stevens County,27149,Minnesota,MN,0,4905,1085,0.22120,50,0.01019,5341,353,219843068,790,9748,7929,5379,0,5379,5145,234,2550,112,16,17,1,22,11,1,1,1,1,0,7,0,4,2,2,4,2,1,0,8,9,2,2,0,2,1,0,0,5,12,4,4,5,2,8,2,2,1,0,14,0,0,1,0,1,23627,11.35913462,35303,16121
Swift County,27151,Minnesota,MN,0,4700,755,0.16064,20,0.00426,3499,329,123506709,678,9602,7823,5193,0,5193,4975,218,2630,78,16,17,1,16,8,1,1,1,0,0,6,0,3,1,2,3,1,1,0,2,4,1,1,0,1,1,1,0,5,9,3,3,3,2,6,1,1,1,0,11,1,0,0,0,1,30118,14.47980769,38965,21881
Todd County,27153,Minnesota,MN,0,11765,1390,0.11815,30,0.00255,6001,556,200312635,642,24588,19350,12085,4,12081,11320,761,7265,178,17,18,1,16,7,0,1,1,2,1,12,0,5,4,4,8,3,2,1,5,19,3,2,0,2,2,1,0,10,21,2,3,11,1,14,1,1,1,0,30,1,1,0,0,1,27561,13.25048077,32890,22524
Traverse County,27155,Minnesota,MN,0,1770,230,0.12994,4,0.00226,1055,142,34482225,628,3455,2844,1707,0,1707,1661,46,1137,37,17,18,1,22,11,0,0,0,0,0,2,0,1,1,1,2,1,0,0,3,2,1,0,0,1,0,0,0,1,5,0,1,3,0,4,0,0,0,0,7,0,0,0,0,0,27425,13.18509615,35282,22061
Wabasha County,27157,Minnesota,MN,1,11665,1955,0.16760,105,0.00900,6918,602,234270233,651,21485,17177,11822,2,11820,11237,583,5355,180,20,20,1,16,8,1,3,1,2,0,9,0,10,3,4,8,3,3,0,3,11,3,3,1,8,2,1,0,6,18,1,8,8,2,14,2,1,0,0,33,1,1,0,0,3,32687,15.71490385,37426,28416
Wadena County,27159,Minnesota,MN,0,5995,925,0.15430,30,0.00500,5752,427,203699115,681,13754,10840,6122,2,6120,5793,327,4718,105,17,18,1,18,8,1,1,1,1,0,5,0,5,2,2,4,1,1,0,5,7,1,3,0,1,1,0,0,4,9,10,3,6,1,6,1,1,2,0,17,0,0,0,0,2,24651,11.85144231,31688,19621
Waseca County,27161,Minnesota,MN,0,9740,1685,0.17300,60,0.00616,6774,498,258149930,733,19127,15101,9992,0,9992,9448,544,5109,160,18,19,1,17,8,1,2,1,2,1,13,1,6,4,3,6,2,2,0,2,34,3,1,0,2,1,1,0,7,16,0,6,7,2,14,1,1,0,0,16,0,0,1,0,1,30072,14.45769231,37751,22341
Washington County,27163,Minnesota,MN,1,123575,40815,0.33029,1600,0.01295,76684,5281,3229676196,810,244103,188788,135984,151,135833,128308,7525,52804,3043,20,20,1,24,12,24,30,26,78,28,110,1,64,70,68,130,62,38,13,53,274,95,98,13,45,36,28,9,85,308,13,98,121,31,279,29,24,4,8,591,12,17,5,3,22,41534,19.96826923,50948,34419
Watonwan County,27165,Minnesota,MN,0,5690,620,0.10896,35,0.00615,4021,313,125505435,600,11151,8651,5957,4,5953,5702,251,2694,68,16,17,0,12,6,0,1,0,1,0,7,0,3,1,1,2,1,0,0,2,7,1,1,0,0,0,0,0,4,6,0,3,5,0,5,0,1,0,0,11,0,0,0,0,1,28250,13.58173077,33056,23816
Wilkin County,27167,Minnesota,MN,0,3305,505,0.15280,20,0.00605,2010,209,72490157,693,6561,5177,3502,0,3502,3393,109,1675,67,19,19,1,20,10,0,0,1,0,0,4,0,1,2,2,4,2,1,0,3,6,2,1,0,1,0,0,0,3,9,0,1,2,0,6,0,0,0,0,12,0,0,0,0,1,31245,15.02163462,40778,22455
Winona County,27169,Minnesota,MN,0,28290,5645,0.19954,265,0.00937,24781,1163,933751352,724,51285,42855,30398,4,30394,27914,2480,12457,716,18,19,1,26,14,6,12,7,10,2,29,3,19,15,15,28,12,10,3,9,63,9,9,2,10,11,5,1,33,66,11,32,32,8,72,16,24,3,33,79,2,5,6,1,4,22803,10.96298077,26838,20134
Wright County,27171,Minnesota,MN,1,64310,16520,0.25688,590,0.00917,38795,3012,1478922536,732,127386,93690,71058,64,70994,67021,3973,22632,1295,18,19,1,19,10,10,12,11,35,15,48,0,35,31,30,58,26,20,7,24,120,40,51,5,18,12,9,2,37,126,7,43,52,11,112,10,10,3,3,238,4,5,2,1,12,38468,18.49423077,47955,30291
Yellow Medicine County,27173,Minnesota,MN,0,5255,805,0.15319,55,0.01047,4073,342,138957644,656,10233,8176,5312,5,5307,5119,188,2864,75,17,18,0,15,7,0,1,0,1,0,7,1,6,1,1,2,1,1,0,4,5,1,1,0,1,0,0,0,6,7,0,4,3,1,4,0,1,0,0,13,0,0,0,0,1,28750,13.82211538,36008,22575
