County,FIPS,State,State abr.,metro_2003,civ_employ_07_11,creative_employ_07_11,creative_employ_shared,arts_pooled,arts_pooled_share,empYear,avg_estabYear,totwageYear,avgwkwageYear,Tot_pop,pop_16u,lab_force,armed_for,civilian,emplyd,unemplyd,not_labor,ce_jobs,Med_earn,avg_earn,lq,ce_per_w,ce_per_c,ad,pub,agent,arch,land,direct,curator,lib,art,craft,fine_art,multimed,comm_des,fash_des,flor_des,graph_des,int_des,merch,set_des,actor,producer,dancer,chore,music_dir,singer,radio_tv,pub_rel,editor,tech_writ,author,media_other,audio_tech,broad_tech,sound_eng,photo,camera,film,med_equip,makeup,mus_repair,pop_med_earnings,avgwages,pop_med_male,pop_med_female
Cook County,27031,Minnesota,MN,0,2745,795,0.28962,4,0.00146,2790,293,81652947,564,5197,4507,2928,0,2928,2795,133,1579,151,17,17,1,54,29,1,0,2,3,1,2,0,3,3,5,9,3,1,0,3,8,3,2,0,6,2,1,0,4,19,4,2,5,1,17,1,1,0,1,32,1,1,1,0,1,25784,12.39615385,30402,22443
Cottonwood County,27033,Minnesota,MN,0,5680,855,0.15053,40,0.00704,4732,392,159576417,648,11676,9200,5781,0,5781,5501,280,3419,157,18,19,1,29,13,1,1,1,4,1,7,1,4,4,3,6,3,3,1,6,14,4,2,0,2,2,1,0,7,13,5,4,7,2,11,1,1,0,0,31,1,1,0,0,2,26255,12.62259615,33227,20155
Crow Wing County,27035,Minnesota,MN,0,28630,6200,0.21656,245,0.00856,28233,2070,995256519,678,62900,50407,31227,149,31078,28675,2403,19180,659,19,19,1,23,10,4,5,5,13,3,29,1,10,13,14,26,12,7,2,16,66,14,12,2,19,9,3,3,24,63,21,16,39,8,52,7,6,5,2,111,4,4,2,1,8,26689,12.83125,32004,22698
Dakota County,27037,Minnesota,MN,1,215670,66755,0.30952,2020,0.00937,180775,9586,8988265599,956,405521,314309,234096,212,233884,220143,13741,80213,8364,21,22,1,38,21,70,93,57,161,57,196,2,115,220,158,303,157,82,28,105,901,190,207,31,108,113,53,21,167,665,49,274,1266,140,699,112,66,23,24,1312,34,42,17,8,36,40355,19.40144231,47754,33420
Dodge County,27039,Minnesota,MN,1,10675,1865,0.17471,50,0.00468,5619,442,223275825,763,20246,15232,11259,44,11215,10789,426,3973,232,18,19,1,22,11,1,2,2,5,1,8,0,10,6,6,13,5,3,0,2,24,4,2,1,4,2,1,0,7,25,1,5,9,2,21,1,1,0,0,52,1,1,0,0,2,36205,17.40625,41827,31359
Douglas County,27041,Minnesota,MN,0,18320,4275,0.23335,165,0.00901,17977,1336,687201227,735,36413,29515,19480,14,19466,18462,1004,10035,508,18,18,1,28,14,3,3,5,9,2,21,1,7,13,14,27,11,6,2,10,37,11,12,2,12,5,3,1,20,58,20,12,19,7,48,4,5,4,1,86,2,2,1,1,5,29898,14.37403846,36990,22581
Faribault County,27043,Minnesota,MN,0,7200,1050,0.14583,35,0.00486,4864,452,223254154,879,14337,11663,7428,2,7426,7067,359,4235,154,18,18,1,22,11,0,1,1,3,1,9,0,4,3,4,8,3,1,0,4,8,3,2,0,2,1,1,0,7,19,15,4,5,1,15,1,1,2,0,16,0,0,0,0,2,27692,13.31346154,34837,20927
Fillmore County,27045,Minnesota,MN,0,10455,1550,0.14825,55,0.00526,6009,639,184717200,591,20842,16393,10931,4,10927,10403,524,5462,247,17,18,1,24,12,1,1,2,6,1,12,1,5,6,7,13,5,3,1,4,14,5,3,1,7,4,2,2,10,29,5,7,11,1,26,1,2,1,1,42,1,1,0,0,3,30444,14.63653846,34882,25684
Freeborn County,27047,Minnesota,MN,0,15725,2075,0.13196,130,0.00827,12094,805,445980589,709,31034,25015,16127,1,16126,15281,845,8888,319,19,20,1,21,10,2,2,3,2,1,20,1,7,7,9,17,7,4,1,7,22,5,4,1,6,4,2,0,13,41,9,9,15,2,38,2,3,2,1,43,2,1,1,0,2,27777,13.35432692,34406,21626
Goodhue County,27049,Minnesota,MN,0,23975,4460,0.18603,200,0.00834,21629,1324,914178985,813,46336,36933,25138,4,25134,23625,1509,11795,550,18,19,1,23,12,3,6,4,10,3,29,1,19,12,14,24,10,14,12,15,69,9,7,1,8,5,3,2,19,56,3,21,21,5,51,3,5,1,1,75,2,2,1,1,5,31861,15.31778846,40367,25219
